timesteps_this_iter,info/opt_peak_throughput,done,episode_reward_max,episode_len_mean,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_env_wait_ms,info/sample_time_ms,info/opt_samples,timesteps_total,hostname,info/num_steps_sampled,info/update_time_ms,timesteps_since_restore,timestamp,training_iteration,episodes_this_iter,time_this_iter_s,iterations_since_restore,episode_reward_min,date,time_total_s,time_since_restore,pid,episode_reward_mean,info/num_steps_trained,experiment_id,episodes_total,info/grad_time_ms,node_ip,info/sample_peak_throughput
1238,34221.164,False,166.19999999999754,70.5,0.568720831799863,1.262609045303876,1.1086855361710732,602.352,1238.0,1238,zack-XPS-15-9560,1238,0.003,1238,1576698648,1,2,0.638852596282959,1,-440.9999999999991,2019-12-18_11-50-48,0.638852596282959,0.638852596282959,14336,-137.40000000000077,1238,a9b21437e7334a98a7a8412aedf56ff3,2,36.176,10.142.78.137,2055.276
1336,57193.237,False,166.19999999999754,72.0,0.5367916687326357,1.0665554022446166,1.0414333618955767,496.965,1287.0,2574,zack-XPS-15-9560,2574,0.002,2574,1576698648,2,3,0.4007382392883301,2,-652.3999999999992,2019-12-18_11-50-48,1.039590835571289,1.039590835571289,14336,-443.51999999999964,2574,a9b21437e7334a98a7a8412aedf56ff3,5,22.503,10.142.78.137,2589.717
1168,72616.376,False,166.19999999999754,72.0,0.5197293779820533,0.9754983467150198,0.998292498261969,453.441,1247.333,3742,zack-XPS-15-9560,3742,0.002,3742,1576698649,3,3,0.373260498046875,3,-652.3999999999992,2019-12-18_11-50-49,1.412851333618164,1.412851333618164,14336,-392.83750000000055,3742,a9b21437e7334a98a7a8412aedf56ff3,8,17.177,10.142.78.137,2750.817
1316,85690.355,False,166.19999999999754,72.18181818181819,0.512399990638795,0.9219979456696606,0.9785826675408905,443.721,1264.5,5058,zack-XPS-15-9560,5058,0.001,5058,1576698649,4,3,0.42247509956359863,4,-860.3000000000001,2019-12-18_11-50-49,1.8353264331817627,1.8353264331817627,14336,-426.3363636363643,5058,a9b21437e7334a98a7a8412aedf56ff3,11,14.757,10.142.78.137,2849.761
1220,93188.613,False,166.19999999999754,72.53846153846153,0.5069734902773715,0.8951902357104717,0.9671830359631743,429.307,1255.6,6278,zack-XPS-15-9560,6278,0.001,6278,1576698650,5,2,0.38293933868408203,5,-860.3000000000001,2019-12-18_11-50-50,2.2182657718658447,2.2182657718658447,14336,-427.9692307692313,6278,a9b21437e7334a98a7a8412aedf56ff3,13,13.474,10.142.78.137,2924.712
1297,101636.104,False,166.19999999999754,73.1875,0.5006642495409614,0.8636057660701356,0.9540391594737909,422.448,1262.5,7575,zack-XPS-15-9560,7575,0.001,7575,1576698650,6,3,0.39568281173706055,6,-860.3000000000001,2019-12-18_11-50-50,2.6139485836029053,2.6139485836029053,14336,-432.0687500000006,7575,a9b21437e7334a98a7a8412aedf56ff3,16,12.422,10.142.78.137,2988.534
1368,108405.351,False,166.19999999999754,72.89473684210526,0.4963375359929807,0.8392511888634651,0.9452395470633022,418.899,1277.571,8943,zack-XPS-15-9560,8943,0.001,8943,1576698650,7,3,0.40596938133239746,7,-860.3000000000001,2019-12-18_11-50-50,3.0199179649353027,3.0199179649353027,14336,-424.2473684210537,8943,a9b21437e7334a98a7a8412aedf56ff3,19,11.785,10.142.78.137,3049.833
1327,114498.861,False,166.19999999999754,73.0952380952381,0.4939448602764526,0.8258250272930758,0.9410332388159452,416.601,1283.75,10270,zack-XPS-15-9560,10270,0.001,10270,1576698651,8,2,0.40807342529296875,8,-860.3000000000001,2019-12-18_11-50-51,3.4279913902282715,3.4279913902282715,14336,-445.8761904761913,10270,a9b21437e7334a98a7a8412aedf56ff3,21,11.212,10.142.78.137,3081.487
1204,118756.417,False,362.69999999999675,73.08333333333333,0.4904760655317029,0.8083070542562428,0.9347068719925314,410.781,1274.889,11474,zack-XPS-15-9560,11474,0.001,11474,1576698651,9,3,0.37154483795166016,9,-860.3000000000001,2019-12-18_11-50-51,3.7995362281799316,3.7995362281799316,14336,-395.30000000000103,11474,a9b21437e7334a98a7a8412aedf56ff3,24,10.735,10.142.78.137,3103.575
1544,123451.973,False,362.69999999999675,72.74074074074075,0.48839269764956833,0.7946562527194992,0.9314595790550974,414.717,1301.8,13018,zack-XPS-15-9560,13018,0.001,13018,1576698652,10,3,0.4593839645385742,10,-1052.599999999998,2019-12-18_11-50-52,4.258920192718506,4.258920192718506,14336,-431.1703703703711,13018,a9b21437e7334a98a7a8412aedf56ff3,27,10.545,10.142.78.137,3139.007
1421,172138.407,False,362.69999999999675,72.66666666666667,0.4868533017080833,0.7829388969580567,0.9291629394741052,395.016,1320.1,14439,zack-XPS-15-9560,14439,0.001,14439,1576698652,11,3,0.413177490234375,11,-1052.599999999998,2019-12-18_11-50-52,4.672097682952881,4.672097682952881,14336,-446.46333333333394,14439,a9b21437e7334a98a7a8412aedf56ff3,30,7.669,10.142.78.137,3341.886
1393,174730.817,False,362.69999999999675,72.8125,0.4858847832496581,0.7759843749796719,0.9278919617012684,395.418,1325.8,15832,zack-XPS-15-9560,15832,0.001,15832,1576698652,12,2,0.4040107727050781,12,-1052.599999999998,2019-12-18_11-50-52,5.076108455657959,5.076108455657959,14336,-453.1906250000006,15832,a9b21437e7334a98a7a8412aedf56ff3,32,7.588,10.142.78.137,3352.907
1292,174491.016,False,362.69999999999675,73.02857142857142,0.4844854243323645,0.7665769170620821,0.9259243867522571,397.014,1338.2,17124,zack-XPS-15-9560,17124,0.001,17124,1576698653,13,3,0.3901541233062744,13,-1052.599999999998,2019-12-18_11-50-53,5.466262578964233,5.466262578964233,14336,-458.3228571428575,17124,a9b21437e7334a98a7a8412aedf56ff3,35,7.669,10.142.78.137,3370.664
1325,172794.305,False,362.69999999999675,73.21052631578948,0.48326161981593974,0.7583518670529145,0.9240662458229177,394.51,1339.1,18449,zack-XPS-15-9560,18449,0.001,18449,1576698653,14,3,0.3982522487640381,14,-1052.599999999998,2019-12-18_11-50-53,5.8645148277282715,5.8645148277282715,14336,-468.17368421052674,18449,a9b21437e7334a98a7a8412aedf56ff3,38,7.75,10.142.78.137,3394.336
1244,177205.322,False,362.69999999999675,73.07317073170732,0.48211218934654715,0.7510529312807243,0.9221162069613756,395.052,1341.5,19693,zack-XPS-15-9560,19693,0.001,19693,1576698654,15,3,0.38407182693481445,15,-1052.599999999998,2019-12-18_11-50-54,6.248586654663086,6.248586654663086,14336,-451.8195121951226,19693,a9b21437e7334a98a7a8412aedf56ff3,41,7.57,10.142.78.137,3395.759
1350,176807.346,False,362.69999999999675,73.23255813953489,0.48137268384826104,0.7465436932595314,0.9209591611770228,394.872,1346.8,21043,zack-XPS-15-9560,21043,0.001,21043,1576698654,16,2,0.39442920684814453,16,-1052.599999999998,2019-12-18_11-50-54,6.6430158615112305,6.6430158615112305,14336,-456.24651162790764,21043,a9b21437e7334a98a7a8412aedf56ff3,43,7.617,10.142.78.137,3410.722
1328,177194.561,False,362.69999999999675,73.3695652173913,0.48038445132169727,0.7402812837480637,0.9194061504382331,394.305,1342.8,22371,zack-XPS-15-9560,22371,0.001,22371,1576698654,17,3,0.39998769760131836,17,-1052.599999999998,2019-12-18_11-50-54,7.043003559112549,7.043003559112549,14336,-455.85000000000076,22371,a9b21437e7334a98a7a8412aedf56ff3,46,7.578,10.142.78.137,3405.481
1321,176691.237,False,362.69999999999675,73.44897959183673,0.47950963646388656,0.7346787461749459,0.9180997593844679,394.286,1342.2,23692,zack-XPS-15-9560,23692,0.001,23692,1576698655,18,3,0.4081730842590332,18,-1052.599999999998,2019-12-18_11-50-55,7.451176643371582,7.451176643371582,14336,-467.7387755102049,23692,a9b21437e7334a98a7a8412aedf56ff3,49,7.596,10.142.78.137,3404.132
