episode_reward_min,episodes_this_iter,pid,time_since_restore,episode_reward_mean,info/opt_samples,iterations_since_restore,sampler_perf/mean_inference_ms,hostname,timesteps_since_restore,date,episode_reward_max,info/grad_time_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_env_wait_ms,info/sample_time_ms,done,experiment_id,training_iteration,timesteps_this_iter,info/update_time_ms,node_ip,timesteps_total,info/opt_peak_throughput,time_this_iter_s,info/sample_peak_throughput,info/num_steps_trained,episodes_total,timestamp,info/num_steps_sampled,time_total_s,episode_len_mean
-851.6999999999994,2,14922,0.6229186058044434,-652.900000000002,1437.0,1,1.1123721279315095,zack-XPS-15-9560,1437,2019-12-18_12-02-21,-454.1000000000047,37.313,0.6382524670653082,1.1244223485538616,585.24,False,e67fcb214a7042fc9e167725570fecfb,1,1437,0.003,10.142.78.137,1437,38512.555,0.6229186058044434,2455.403,1437,2,1576699341,1437,0.6229186058044434,78.5
-858.9000000000002,3,14922,0.9868011474609375,-489.880000000001,1347.0,2,0.9590472064730126,zack-XPS-15-9560,2694,2019-12-18_12-02-21,165.09999999999752,22.244,0.5789936272876526,1.008412209138792,470.803,False,e67fcb214a7042fc9e167725570fecfb,2,1257,0.002,10.142.78.137,2694,60554.746,0.36388254165649414,2861.069,2694,5,1576699341,2694,0.9868011474609375,77.0
-858.9000000000002,2,14922,1.3752377033233643,-450.60000000000207,1360.333,3,0.9065428839103461,zack-XPS-15-9560,4081,2019-12-18_12-02-21,165.09999999999752,17.686,0.5629725281210031,0.9730219826343094,440.373,False,e67fcb214a7042fc9e167725570fecfb,3,1387,0.002,10.142.78.137,4081,76914.577,0.38843655586242676,3089.05,4081,7,1576699341,4081,1.3752377033233643,76.71428571428571
-858.9000000000002,3,14922,1.7694101333618164,-489.90000000000134,1358.5,4,0.855833799573712,zack-XPS-15-9560,5434,2019-12-18_12-02-22,165.09999999999752,15.179,0.5481290857258841,0.9413700727494507,426.817,False,e67fcb214a7042fc9e167725570fecfb,4,1353,0.002,10.142.78.137,5434,89495.965,0.39417243003845215,3182.861,5434,10,1576699342,5434,1.7694101333618164,74.3
-858.9000000000002,3,14922,2.138432741165161,-539.453846153848,1336.2,5,0.8216365858796549,zack-XPS-15-9560,6681,2019-12-18_12-02-22,165.09999999999752,13.585,0.5371911618970636,0.9195771349398764,413.74,False,e67fcb214a7042fc9e167725570fecfb,5,1247,0.002,10.142.78.137,6681,98357.137,0.3690226078033447,3229.568,6681,13,1576699342,6681,2.138432741165161,73.15384615384616
-858.9000000000002,3,14922,2.5221521854400635,-572.5937500000014,1341.833,6,0.796664924555881,zack-XPS-15-9560,8051,2019-12-18_12-02-23,165.09999999999752,12.628,0.5297866574038557,0.9044125946975954,407.359,False,e67fcb214a7042fc9e167725570fecfb,6,1370,0.002,10.142.78.137,8051,106254.909,0.38371944427490234,3293.983,8051,16,1576699343,8051,2.5221521854400635,73.125
-858.9000000000002,3,14922,2.8909716606140137,-531.7473684210544,1326.0,7,0.7776486907563925,zack-XPS-15-9560,9282,2019-12-18_12-02-23,165.09999999999752,11.822,0.5236406305313993,0.892027127296676,400.799,False,e67fcb214a7042fc9e167725570fecfb,7,1231,0.001,10.142.78.137,9282,112168.427,0.3688194751739502,3308.392,9282,19,1576699343,9282,2.8909716606140137,73.36842105263158
-858.9000000000002,2,14922,3.316873550415039,-542.8952380952396,1326.5,8,0.767959657570137,zack-XPS-15-9560,10612,2019-12-18_12-02-23,165.09999999999752,11.494,0.520982929693937,0.8862424483892714,402.728,False,e67fcb214a7042fc9e167725570fecfb,8,1330,0.001,10.142.78.137,10612,115410.924,0.4259018898010254,3293.787,10612,21,1576699343,10612,3.316873550415039,73.61904761904762
-858.9000000000002,3,14922,3.7380552291870117,-531.0625000000015,1330.556,9,0.7565358311751496,zack-XPS-15-9560,11975,2019-12-18_12-02-24,165.09999999999752,11.058,0.5181809557939393,0.8797407662329056,403.896,False,e67fcb214a7042fc9e167725570fecfb,9,1363,0.001,10.142.78.137,11975,120327.611,0.42118167877197266,3294.305,11975,24,1576699344,11975,3.7380552291870117,73.54166666666667
-862.1,3,14922,4.168885946273804,-559.6000000000014,1345.2,10,0.7474559786207704,zack-XPS-15-9560,13452,2019-12-18_12-02-24,165.09999999999752,10.826,0.5164030921911354,0.8755195522527857,405.675,False,e67fcb214a7042fc9e167725570fecfb,10,1477,0.001,10.142.78.137,13452,124261.168,0.430830717086792,3315.959,13452,27,1576699344,13452,4.168885946273804,73.74074074074075
-862.1,2,14922,4.589106798171997,-552.0413793103461,1337.7,11,0.7424077398089632,zack-XPS-15-9560,14814,2019-12-18_12-02-25,165.09999999999752,7.823,0.5154385080986387,0.8734512243145195,388.394,False,e67fcb214a7042fc9e167725570fecfb,11,1362,0.001,10.142.78.137,14814,170992.864,0.42022085189819336,3444.183,14814,29,1576699345,14814,4.589106798171997,73.51724137931035
-862.1,3,14922,5.03429388999939,-548.6312500000012,1357.7,12,0.7361912569021423,zack-XPS-15-9560,16271,2019-12-18_12-02-25,165.09999999999752,7.926,0.5145303364715396,0.8715562934185032,396.408,False,e67fcb214a7042fc9e167725570fecfb,12,1457,0.001,10.142.78.137,16271,171291.605,0.4451870918273926,3425.005,16271,32,1576699345,16271,5.03429388999939,73.40625
-862.1,3,14922,5.431299448013306,-533.6914285714296,1329.6,13,0.7311585967163384,zack-XPS-15-9560,17377,2019-12-18_12-02-26,165.09999999999752,7.779,0.513787389903616,0.8692358438702494,397.399,False,e67fcb214a7042fc9e167725570fecfb,13,1106,0.001,10.142.78.137,17377,170919.569,0.397005558013916,3345.752,17377,35,1576699346,17377,5.431299448013306,73.6
-862.1,2,14922,5.85688591003418,-545.4945945945957,1327.2,14,0.7283689785794776,zack-XPS-15-9560,18706,2019-12-18_12-02-26,165.09999999999752,7.779,0.5133001710068534,0.8680511328951068,400.527,False,e67fcb214a7042fc9e167725570fecfb,14,1329,0.001,10.142.78.137,18706,170603.729,0.425586462020874,3313.632,18706,37,1576699346,18706,5.85688591003418,73.78378378378379
-862.1,3,14922,6.307027339935303,-548.2450000000009,1333.9,15,0.7250681796396546,zack-XPS-15-9560,20020,2019-12-18_12-02-26,165.09999999999752,7.865,0.5129250203359763,0.8667184245565711,408.541,False,e67fcb214a7042fc9e167725570fecfb,15,1314,0.001,10.142.78.137,20020,169598.468,0.45014142990112305,3265.037,20020,40,1576699346,20020,6.307027339935303,73.7
-862.1,3,14922,6.725113868713379,-550.1837209302333,1324.5,16,0.7222215793074402,zack-XPS-15-9560,21296,2019-12-18_12-02-27,165.09999999999752,8.026,0.5126439105365491,0.8654987122058411,411.804,False,e67fcb214a7042fc9e167725570fecfb,16,1276,0.001,10.142.78.137,21296,165019.713,0.41808652877807617,3216.332,21296,43,1576699347,21296,6.725113868713379,73.65116279069767
-862.1,3,14922,7.123852968215942,-539.0934782608705,1329.1,17,0.719612589127799,zack-XPS-15-9560,22573,2019-12-18_12-02-27,165.09999999999752,8.087,0.512353914079357,0.8642550169531569,414.726,False,e67fcb214a7042fc9e167725570fecfb,17,1277,0.001,10.142.78.137,22573,164360.06,0.3987390995025635,3204.766,22573,46,1576699347,22573,7.123852968215942,73.6304347826087
-862.1,2,14922,7.5300891399383545,-531.2354166666677,1334.8,18,0.7179643865336773,zack-XPS-15-9560,23960,2019-12-18_12-02-28,165.09999999999752,7.926,0.5121271316628736,0.863537204619279,412.917,False,e67fcb214a7042fc9e167725570fecfb,18,1387,0.001,10.142.78.137,23960,168409.563,0.4062361717224121,3232.612,23960,48,1576699348,23960,7.5300891399383545,73.5625
-862.1,3,14922,7.956094741821289,-526.5725490196088,1353.2,19,0.7155536319077396,zack-XPS-15-9560,25507,2019-12-18_12-02-28,165.09999999999752,8.098,0.5118945386009175,0.8628022176176572,413.214,False,e67fcb214a7042fc9e167725570fecfb,19,1547,0.001,10.142.78.137,25507,167108.271,0.42600560188293457,3274.819,25507,51,1576699348,25507,7.956094741821289,73.52941176470588
-862.1,3,14922,8.359057188034058,-522.3111111111119,1334.9,20,0.7133473245199541,zack-XPS-15-9560,26801,2019-12-18_12-02-28,165.09999999999752,7.965,0.5116667492283243,0.8620479669288966,410.543,False,e67fcb214a7042fc9e167725570fecfb,20,1294,0.001,10.142.78.137,26801,167604.417,0.40296244621276855,3251.544,26801,54,1576699348,26801,8.359057188034058,73.55555555555556
-862.1,3,14922,8.947112083435059,-514.7631578947378,1326.1,21,0.7121840254661601,zack-XPS-15-9560,28075,2019-12-18_12-02-29,165.09999999999752,7.962,0.5119234636119939,0.8622590399644082,427.325,False,e67fcb214a7042fc9e167725570fecfb,21,1274,0.001,10.142.78.137,28075,166557.861,0.588054895401001,3103.257,28075,57,1576699349,28075,8.947112083435059,73.52631578947368
-862.1,2,14922,9.31802773475647,-502.2644067796619,1305.0,22,0.7113448122203468,zack-XPS-15-9560,29321,2019-12-18_12-02-29,363.79999999999654,7.915,0.5119508466145103,0.8622372926940085,419.937,False,e67fcb214a7042fc9e167725570fecfb,22,1246,0.001,10.142.78.137,29321,164880.373,0.37091565132141113,3107.609,29321,59,1576699349,29321,9.31802773475647,73.54237288135593
-862.1,3,14922,9.714885473251343,-502.87741935483973,1328.4,23,0.7100531961970966,zack-XPS-15-9560,30661,2019-12-18_12-02-30,363.79999999999654,8.012,0.5119373627548929,0.862128086993287,419.816,False,e67fcb214a7042fc9e167725570fecfb,23,1340,0.001,10.142.78.137,30661,165807.533,0.39685773849487305,3164.246,30661,62,1576699350,30661,9.714885473251343,73.69354838709677
-862.1,3,14922,10.09055209159851,-503.34307692307783,1317.7,24,0.7087508419567707,zack-XPS-15-9560,31883,2019-12-18_12-02-30,363.79999999999654,7.923,0.5118178489864398,0.8618436051727524,414.905,False,e67fcb214a7042fc9e167725570fecfb,24,1222,0.001,10.142.78.137,31883,166313.618,0.37566661834716797,3175.905,31883,65,1576699350,31883,10.09055209159851,73.75384615384615
-862.1,2,14922,10.466148853302002,-486.53731343283675,1306.9,25,0.7078876245266162,zack-XPS-15-9560,33089,2019-12-18_12-02-31,363.79999999999654,7.861,0.5116549427863583,0.8615609752135204,407.505,False,e67fcb214a7042fc9e167725570fecfb,25,1206,0.001,10.142.78.137,33089,166252.241,0.3755967617034912,3207.079,33089,67,1576699351,33089,10.466148853302002,73.80597014925372
-862.1,3,14922,10.838441133499146,-481.8971428571437,1301.0,26,0.7065680452730487,zack-XPS-15-9560,34306,2019-12-18_12-02-31,363.79999999999654,7.615,0.5113426597449485,0.8610074155620474,403.168,False,e67fcb214a7042fc9e167725570fecfb,26,1217,0.001,10.142.78.137,34306,170836.983,0.37229228019714355,3226.941,34306,70,1576699351,34306,10.838441133499146,73.87142857142857
-862.1,3,14922,11.223971128463745,-475.0068493150695,1307.2,27,0.7052601607096696,zack-XPS-15-9560,35645,2019-12-18_12-02-31,363.79999999999654,7.617,0.5110208158565116,0.8604052547048534,401.833,False,e67fcb214a7042fc9e167725570fecfb,27,1339,0.001,10.142.78.137,35645,171607.063,0.3855299949645996,3253.095,35645,73,1576699351,35645,11.223971128463745,73.75342465753425
-862.1,2,14922,11.588325262069702,-468.924000000001,1288.2,28,0.704386818032171,zack-XPS-15-9560,36842,2019-12-18_12-02-32,363.79999999999654,7.557,0.5107492526503131,0.8599272920381831,397.695,False,e67fcb214a7042fc9e167725570fecfb,28,1197,0.001,10.142.78.137,36842,170463.692,0.36435413360595703,3239.162,36842,75,1576699352,36842,11.588325262069702,73.76
-1064.7000000000012,3,14922,12.022663831710815,-473.3461538461549,1288.1,29,0.7031324535833209,zack-XPS-15-9560,38388,2019-12-18_12-02-32,363.79999999999654,7.441,0.5104118892207112,0.8593824850753529,398.634,False,e67fcb214a7042fc9e167725570fecfb,29,1546,0.001,10.142.78.137,38388,173104.66,0.4343385696411133,3231.287,38388,78,1576699352,38388,12.022663831710815,73.67948717948718
-1064.7000000000012,3,14922,12.431634426116943,-467.49012345679125,1299.2,30,0.7019217763683792,zack-XPS-15-9560,39793,2019-12-18_12-02-33,363.79999999999654,7.452,0.510094641413242,0.8589063779457782,399.222,False,e67fcb214a7042fc9e167725570fecfb,30,1405,0.001,10.142.78.137,39793,174341.083,0.40897059440612793,3254.33,39793,81,1576699353,39793,12.431634426116943,73.65432098765432
