episodes_this_iter,info/num_steps_sampled,timesteps_this_iter,sampler_perf/mean_processing_ms,episodes_total,iterations_since_restore,episode_reward_mean,timestamp,sampler_perf/mean_env_wait_ms,training_iteration,time_total_s,episode_reward_min,info/opt_samples,info/sample_time_ms,time_this_iter_s,timesteps_since_restore,sampler_perf/mean_inference_ms,pid,time_since_restore,info/num_steps_trained,episode_reward_max,timesteps_total,done,info/grad_time_ms,info/opt_peak_throughput,hostname,info/update_time_ms,date,info/sample_peak_throughput,node_ip,episode_len_mean,experiment_id
2,1264,1264,0.9281326882281706,2,1,-542.2999999999993,1576702736,1.4747944637317563,1,0.8390231132507324,-847.4000000000003,1264.0,766.279,0.8390231132507324,1264,1.356908931067927,17939,0.8390231132507324,1264,-237.19999999999825,1264,False,72.288,17485.547,zack-XPS-15-9560,0.003,2019-12-18_12-58-56,1649.53,10.142.78.137,76.0,597e19b796dc436bb6e93311fa9df381
3,2617,1353,0.9478483721747919,5,2,-524.98,1576702737,1.5847743035983783,2,1.6659421920776367,-851.5999999999987,1308.5,788.665,0.8269190788269043,2617,1.3130148061059743,17939,1.6659421920776367,2617,-237.19999999999825,2617,False,43.764,29899.007,zack-XPS-15-9560,0.002,2019-12-18_12-58-57,1659.133,10.142.78.137,72.6,597e19b796dc436bb6e93311fa9df381
3,4060,1443,0.9475597564428642,8,3,-548.3750000000002,1576702737,1.6508653699480493,3,2.5241878032684326,-860.0999999999996,1353.333,805.722,0.8582456111907959,4060,1.3045005947200254,17939,2.5241878032684326,4060,-237.19999999999825,4060,False,35.093,38564.557,zack-XPS-15-9560,0.002,2019-12-18_12-58-57,1679.653,10.142.78.137,73.625,597e19b796dc436bb6e93311fa9df381
2,5322,1262,0.9450327995925483,10,4,-467.79000000000116,1576702738,1.6681347205087758,4,3.3056130409240723,-860.0999999999996,1330.5,795.979,0.7814252376556396,5322,1.3001897652376493,17939,3.3056130409240723,5322,-42.300000000004275,5322,False,29.828,44606.435,zack-XPS-15-9560,0.003,2019-12-18_12-58-58,1671.526,10.142.78.137,73.7,597e19b796dc436bb6e93311fa9df381
3,6755,1433,0.9483726417467202,13,5,-462.6461538461548,1576702739,1.700832631598354,5,4.2280049324035645,-860.0999999999996,1351.0,817.802,0.9223918914794922,6755,1.2996044722192666,17939,4.2280049324035645,6755,-34.6000000000019,6755,False,27.179,49707.926,zack-XPS-15-9560,0.003,2019-12-18_12-58-59,1651.99,10.142.78.137,73.0,597e19b796dc436bb6e93311fa9df381
3,8101,1346,0.9528115911787475,16,6,-472.98750000000086,1576702740,1.725703820736447,6,5.099672317504883,-860.0999999999996,1350.167,824.161,0.8716673851013184,8101,1.298779991848866,17939,5.099672317504883,8101,-34.6000000000019,8101,False,25.145,53695.628,zack-XPS-15-9560,0.003,2019-12-18_12-59-00,1638.231,10.142.78.137,73.3125,597e19b796dc436bb6e93311fa9df381
3,9435,1334,0.9572283554960588,19,7,-458.8684210526325,1576702741,1.7454233684846268,7,5.978367805480957,-860.0999999999996,1347.857,829.677,0.8786954879760742,9435,1.2987174694040595,17939,5.978367805480957,9435,-34.6000000000019,9435,False,23.726,56809.482,zack-XPS-15-9560,0.003,2019-12-18_12-59-01,1624.557,10.142.78.137,73.36842105263158,597e19b796dc436bb6e93311fa9df381
2,10902,1467,0.9604190038236394,21,8,-458.26666666666756,1576702742,1.7585397901876703,8,6.897392272949219,-860.0999999999996,1362.75,838.771,0.9190244674682617,10902,1.299074595647809,17939,6.897392272949219,10902,-34.6000000000019,10902,False,22.742,59921.377,zack-XPS-15-9560,0.003,2019-12-18_12-59-02,1624.698,10.142.78.137,73.66666666666667,597e19b796dc436bb6e93311fa9df381
3,12072,1170,0.9615630758579158,24,9,-406.01666666666796,1576702742,1.768614369997157,9,7.587282419204712,-860.0999999999996,1341.333,820.668,0.6898901462554932,12072,1.2964585357939515,17939,7.587282419204712,12072,168.09999999999764,12072,False,21.692,61834.757,zack-XPS-15-9560,0.003,2019-12-18_12-59-02,1634.441,10.142.78.137,72.83333333333333,597e19b796dc436bb6e93311fa9df381
3,13417,1345,0.9630139381236315,27,10,-402.95925925926053,1576702743,1.7774826732082059,10,8.454457521438599,-860.0999999999996,1341.7,823.713,0.8671751022338867,13417,1.2945959585103863,17939,8.454457521438599,13417,168.09999999999764,13417,False,21.052,63731.21,zack-XPS-15-9560,0.003,2019-12-18_12-59-03,1628.845,10.142.78.137,72.4074074074074,597e19b796dc436bb6e93311fa9df381
