iterations_since_restore,node_ip,timestamp,date,episode_reward_min,episode_reward_max,hostname,sampler_perf/mean_processing_ms,info/grad_time_ms,info/sample_time_ms,episodes_this_iter,info/num_steps_sampled,info/update_time_ms,pid,sampler_perf/mean_inference_ms,info/opt_peak_throughput,info/sample_peak_throughput,episode_reward_mean,training_iteration,info/opt_samples,episodes_total,experiment_id,done,time_this_iter_s,timesteps_since_restore,info/num_steps_trained,sampler_perf/mean_env_wait_ms,time_since_restore,timesteps_total,timesteps_this_iter,time_total_s,episode_len_mean
1,10.142.78.137,1576701909,2019-12-18_12-45-09,-650.2999999999992,-447.199999999999,zack-XPS-15-9560,0.7877385438378177,39.352,714.77,2,1464,0.003,17248,1.241489429378984,37202.515,2048.211,-548.7499999999991,1,1464.0,2,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.7545108795166016,1464,1464,1.4783197374486212,0.7545108795166016,1464,1464,0.7545108795166016,72.0
2,10.142.78.137,1576701910,2019-12-18_12-45-10,-650.2999999999992,-38.4000000000033,zack-XPS-15-9560,0.6829858682576859,23.15,548.803,3,2678,0.002,17248,1.0618497168144736,57839.361,2439.855,-406.36000000000087,2,1339.0,5,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.3901245594024658,2678,2678,1.284361831591775,1.1446354389190674,2678,1214,1.1446354389190674,72.8
3,10.142.78.137,1576701910,2019-12-18_12-45-10,-861.4000000000003,-38.4000000000033,zack-XPS-15-9560,0.6462597078038302,18.633,511.182,3,4261,0.002,17248,0.9756872809902508,76226.246,2778.527,-474.63750000000095,3,1420.333,8,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.4459202289581299,4261,4261,1.2208395374652643,1.5905556678771973,4261,1583,1.5905556678771973,72.375
4,10.142.78.137,1576701910,2019-12-18_12-45-10,-861.4000000000003,-38.4000000000033,zack-XPS-15-9560,0.6271704250297189,15.843,480.221,2,5578,0.002,17248,0.935318843586914,88020.751,2903.87,-509.5000000000006,4,1394.5,10,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.3952043056488037,5578,5578,1.1881925452953426,1.985759973526001,5578,1317,1.985759973526001,72.7
5,10.142.78.137,1576701911,2019-12-18_12-45-11,-861.4000000000003,-38.4000000000033,zack-XPS-15-9560,0.6053994559578887,14.137,463.17,3,6928,0.002,17248,0.890629481620502,98014.086,2991.56,-510.66923076923155,5,1385.6,13,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.4026346206665039,6928,6928,1.1506210135739228,2.388394594192505,6928,1350,2.388394594192505,73.23076923076923
6,10.142.78.137,1576701911,2019-12-18_12-45-11,-1058.5999999999976,-38.4000000000033,zack-XPS-15-9560,0.590650006413305,13.182,454.096,3,8389,0.002,17248,0.8575496285721259,106069.516,3079.014,-562.4687500000002,6,1398.167,16,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.4177110195159912,8389,8389,1.125280531689289,2.806105613708496,8389,1461,2.806105613708496,73.4375
7,10.142.78.137,1576701912,2019-12-18_12-45-12,-1058.5999999999976,-38.4000000000033,zack-XPS-15-9560,0.5823562708873796,12.336,444.9,2,9643,0.002,17248,0.840144387880331,111674.394,3096.365,-549.805555555556,7,1377.571,18,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.3973696231842041,9643,9643,1.1106334575393655,3.2034752368927,9643,1254,3.2034752368927,73.72222222222223
8,10.142.78.137,1576701912,2019-12-18_12-45-12,-1058.5999999999976,-38.4000000000033,zack-XPS-15-9560,0.5714745942545654,11.706,435.929,3,10903,0.002,17248,0.8182353996742207,116421.242,3126.372,-506.16190476190553,8,1362.875,21,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.38083720207214355,10903,10903,1.091075639197057,3.5843124389648438,10903,1260,3.5843124389648438,73.52380952380952
9,10.142.78.137,1576701912,2019-12-18_12-45-12,-1058.5999999999976,-35.000000000002416,zack-XPS-15-9560,0.5625214428478692,11.206,430.719,3,12169,0.002,17248,0.8008516546272665,120657.096,3139.197,-515.1166666666674,9,1352.111,24,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.3966405391693115,12169,12169,1.0750114666981718,3.9809529781341553,12169,1266,3.9809529781341553,73.41666666666667
10,10.142.78.137,1576701913,2019-12-18_12-45-13,-1058.5999999999976,-35.000000000002416,zack-XPS-15-9560,0.5545493702741009,10.716,422.529,3,13294,0.002,17248,0.7861959800779458,124054.342,3146.292,-499.53333333333416,10,1329.4,27,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.35552191734313965,13294,13294,1.060195812442759,4.336474895477295,13294,1125,4.336474895477295,73.51851851851852
11,10.142.78.137,1576701913,2019-12-18_12-45-13,-1058.5999999999976,-35.000000000002416,zack-XPS-15-9560,0.5498676871412908,7.522,389.561,2,14632,0.001,17248,0.7776565958026921,175056.799,3380.218,-496.07931034482846,11,1316.8,29,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.3929159641265869,14632,14632,1.0516274189891301,4.729390859603882,14632,1338,4.729390859603882,73.44827586206897
12,10.142.78.137,1576701914,2019-12-18_12-45-14,-1058.5999999999976,-35.000000000002416,zack-XPS-15-9560,0.5440189718704048,7.683,393.055,3,16065,0.001,17248,0.7664605670328726,174247.443,3405.886,-497.98125000000084,12,1338.7,32,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.42684245109558105,16065,16065,1.041084508636714,5.156233310699463,16065,1433,5.156233310699463,73.46875
13,10.142.78.137,1576701914,2019-12-18_12-45-14,-1058.5999999999976,-35.000000000002416,zack-XPS-15-9560,0.5390368897906416,7.489,389.172,3,17426,0.001,17248,0.756878684335698,175800.914,3382.824,-488.0628571428582,13,1316.5,35,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.40524864196777344,17426,17426,1.032103828672188,5.561481952667236,17426,1361,5.561481952667236,73.51428571428572
14,10.142.78.137,1576701914,2019-12-18_12-45-14,-1058.5999999999976,-35.000000000002416,zack-XPS-15-9560,0.5347952930565537,7.488,391.308,3,18757,0.001,17248,0.7486926181029133,176007.478,3367.931,-479.7184210526328,14,1317.9,38,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.41664576530456543,18757,18757,1.0244894363932004,5.978127717971802,18757,1331,5.978127717971802,73.44736842105263
