episodes_total,experiment_id,info/sample_peak_throughput,episode_reward_mean,timesteps_this_iter,timesteps_total,time_since_restore,done,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,timesteps_since_restore,info/num_steps_sampled,timestamp,sampler_perf/mean_env_wait_ms,episode_len_mean,info/num_steps_trained,episode_reward_max,info/opt_peak_throughput,time_total_s,iterations_since_restore,episode_reward_min,info/opt_samples,sampler_perf/mean_processing_ms,episodes_this_iter,node_ip,date,sampler_perf/mean_inference_ms,hostname,training_iteration,pid,time_this_iter_s
2,db15454e139b45a4977ecbeb588ffe50,1810.889,-426.35000000000133,785,785,0.47006845474243164,False,433.489,36.212,0.003,785,785,1576686984,0.5510209211662634,70.0,785,-228.8999999999991,21677.916,0.47006845474243164,1,-623.8000000000036,785.0,0.45175813323822783,2,10.142.78.137,2019-12-18_08-36-24,1.1155652762645514,zack-XPS-15-9560,1,30967,0.47006845474243164
5,db15454e139b45a4977ecbeb588ffe50,2452.097,-309.3800000000007,893,1678,0.7265462875366211,False,342.156,20.736,0.002,1678,1678,1576686985,0.5065556121279816,73.0,1678,-27.10000000000292,40460.842,0.7265462875366211,2,-623.8000000000036,839.0,0.4066334553323128,3,10.142.78.137,2019-12-18_08-36-25,0.9452552224869152,zack-XPS-15-9560,2,30967,0.25647783279418945
8,db15454e139b45a4977ecbeb588ffe50,2723.216,-304.5375000000006,865,2543,0.9812612533569336,False,311.274,15.446,0.002,2543,2543,1576686985,0.4840487713654793,72.25,2543,-26.20000000000246,54878.704,0.9812612533569336,3,-623.8000000000036,847.667,0.3851327694961708,3,10.142.78.137,2019-12-18_08-36-25,0.8691286346924665,zack-XPS-15-9560,3,30967,0.2547149658203125
11,db15454e139b45a4977ecbeb588ffe50,2815.222,-265.0000000000005,733,3276,1.2157273292541504,False,290.918,12.651,0.002,3276,3276,1576686985,0.4675390026936745,71.81818181818181,3276,382.09999999999894,64735.696,1.2157273292541504,4,-623.8000000000036,819.0,0.3701722677754317,3,10.142.78.137,2019-12-18_08-36-25,0.8192215331472587,zack-XPS-15-9560,4,30967,0.2344660758972168
14,db15454e139b45a4977ecbeb588ffe50,2866.079,-227.7571428571432,718,3994,1.4502995014190674,False,278.708,10.989,0.002,3994,3994,1576686985,0.4546972831254014,71.14285714285714,3994,382.09999999999894,72691.514,1.4502995014190674,5,-623.8000000000036,798.8,0.3591767731871268,3,10.142.78.137,2019-12-18_08-36-25,0.7839310469107721,zack-XPS-15-9560,5,30967,0.234572172164917
16,db15454e139b45a4977ecbeb588ffe50,2923.716,-227.91875000000044,769,4763,1.6906378269195557,False,271.515,9.896,0.002,4763,4763,1576686986,0.44757069425248,71.0625,4763,382.09999999999894,80217.917,1.6906378269195557,6,-636.5999999999999,793.833,0.35300805503473925,2,10.142.78.137,2019-12-18_08-36-26,0.7658100141188983,zack-XPS-15-9560,6,30967,0.24033832550048828
19,db15454e139b45a4977ecbeb588ffe50,2990.747,-259.19473684210567,820,5583,1.9336671829223633,False,266.68,9.197,0.002,5583,5583,1576686986,0.4391364906548526,71.57894736842105,5583,382.09999999999894,86719.572,1.9336671829223633,7,-636.5999999999999,797.571,0.34560977150430594,3,10.142.78.137,2019-12-18_08-36-26,0.7432555561413182,zack-XPS-15-9560,7,30967,0.24302935600280762
22,db15454e139b45a4977ecbeb588ffe50,3009.151,-263.6636363636368,713,6296,2.1636595726013184,False,261.536,8.559,0.002,6296,6296,1576686986,0.43194583772357226,71.36363636363636,6296,382.09999999999894,91954.92,2.1636595726013184,8,-636.5999999999999,787.0,0.3395624569013632,3,10.142.78.137,2019-12-18_08-36-26,0.7251701975870708,zack-XPS-15-9560,8,30967,0.22999238967895508
25,db15454e139b45a4977ecbeb588ffe50,3080.161,-299.99200000000025,960,7256,2.4331345558166504,False,261.747,8.228,0.002,7256,7256,1576686986,0.42701306575181613,71.28,7256,382.09999999999894,97986.02,2.4331345558166504,9,-636.5999999999999,806.222,0.33529783394268237,3,10.142.78.137,2019-12-18_08-36-26,0.7107549270552085,zack-XPS-15-9560,9,30967,0.26947498321533203
27,db15454e139b45a4977ecbeb588ffe50,3112.163,-309.8111111111113,807,8063,2.6732165813446045,False,259.08,7.866,0.002,8063,8063,1576686987,0.42416865101884155,71.48148148148148,8063,382.09999999999894,102509.406,2.6732165813446045,10,-636.5999999999999,806.3,0.3327652632165637,2,10.142.78.137,2019-12-18_08-36-27,0.7023507452700749,zack-XPS-15-9560,10,30967,0.2400820255279541
