episodes_total,timesteps_total,time_this_iter_s,info/num_steps_sampled,timesteps_since_restore,iterations_since_restore,episodes_this_iter,sampler_perf/mean_env_wait_ms,info/opt_samples,sampler_perf/mean_processing_ms,time_since_restore,date,training_iteration,info/sample_time_ms,info/num_steps_trained,time_total_s,episode_len_mean,info/opt_peak_throughput,episode_reward_mean,info/grad_time_ms,sampler_perf/mean_inference_ms,episode_reward_max,hostname,info/sample_peak_throughput,info/update_time_ms,timestamp,pid,node_ip,episode_reward_min,timesteps_this_iter,experiment_id,done
2,895,0.4030897617340088,895,895,1,2,0.8162171093385611,895.0,0.36009508578931515,0.4030897617340088,2019-12-18_11-10-18,1,369.018,895,0.4030897617340088,72.5,26521.096,-330.7499999999991,33.747,0.6443635741276528,-225.59999999999923,zack-XPS-15-9560,2425.359,0.001,1576696218,11562,10.142.78.137,-435.899999999999,895,c3fc92d7f4874dea9e1921f76f825b97,False
5,1643,0.2974848747253418,1643,1643,2,3,0.7612082220523275,821.5,0.3374100092322555,0.7005746364593506,2019-12-18_11-10-18,2,330.83,1643,0.7005746364593506,72.8,42969.817,-268.89999999999964,19.118,0.6137505061093903,-26.90000000000191,zack-XPS-15-9560,2483.15,0.002,1576696218,11562,10.142.78.137,-435.899999999999,748,c3fc92d7f4874dea9e1921f76f825b97,False
8,2417,0.3055703639984131,2417,2417,3,3,0.7388228666571051,805.667,0.32734833495814636,1.0061450004577637,2019-12-18_11-10-18,3,320.594,2417,1.0061450004577637,73.125,55756.116,-203.4875000000003,14.45,0.6011814667135131,177.2999999999978,zack-XPS-15-9560,2513.043,0.002,1576696218,11562,10.142.78.137,-435.899999999999,774,c3fc92d7f4874dea9e1921f76f825b97,False
10,3100,0.29242396354675293,3100,3100,4,2,0.7272900741219971,775.0,0.32134680991996517,1.2985689640045166,2019-12-18_11-10-18,4,312.394,3100,1.2985689640045166,72.8,65065.391,-167.07000000000042,11.911,0.5958314965352753,178.59999999999803,zack-XPS-15-9560,2480.843,0.001,1576696218,11562,10.142.78.137,-435.899999999999,683,c3fc92d7f4874dea9e1921f76f825b97,False
13,3858,0.299910306930542,3858,3858,5,3,0.7140764406909016,771.6,0.31500080266002584,1.5984792709350586,2019-12-18_11-10-19,5,308.944,3858,1.5984792709350586,73.0,74118.839,-212.00769230769254,10.41,0.5905120381150919,178.59999999999803,zack-XPS-15-9560,2497.54,0.001,1576696219,11562,10.142.78.137,-435.899999999999,758,c3fc92d7f4874dea9e1921f76f825b97,False
16,4744,0.33126401901245117,4744,4744,6,3,0.7075913662748295,790.667,0.31203808352721235,1.9297432899475098,2019-12-18_11-10-19,6,311.781,4744,1.9297432899475098,72.375,83240.022,-202.71250000000038,9.499,0.5871798534311483,178.59999999999803,zack-XPS-15-9560,2535.968,0.001,1576696219,11562,10.142.78.137,-437.39999999999884,886,c3fc92d7f4874dea9e1921f76f825b97,False
19,5493,0.30890321731567383,5493,5493,7,3,0.7022389868543065,784.714,0.31098852594731935,2.2386465072631836,2019-12-18_11-10-19,7,310.724,5493,2.2386465072631836,72.15789473684211,89786.524,-195.91578947368455,8.74,0.5840733734908038,178.59999999999803,zack-XPS-15-9560,2525.442,0.001,1576696219,11562,10.142.78.137,-437.39999999999884,749,c3fc92d7f4874dea9e1921f76f825b97,False
22,6249,0.3041722774505615,6249,6249,8,3,0.6977119011379374,781.125,0.3098376418622868,2.542818784713745,2019-12-18_11-10-20,8,309.306,6249,2.542818784713745,71.95454545454545,95289.395,-190.9772727272731,8.197,0.5819152425193749,178.59999999999803,zack-XPS-15-9560,2525.411,0.001,1576696220,11562,10.142.78.137,-437.39999999999884,756,c3fc92d7f4874dea9e1921f76f825b97,False
24,7023,0.3062124252319336,7023,7023,9,2,0.695123110375345,780.333,0.30894877452591735,2.8490312099456787,2019-12-18_11-10-20,9,308.397,7023,2.8490312099456787,71.875,99928.749,-194.2083333333337,7.809,0.5809013380318008,178.59999999999803,zack-XPS-15-9560,2530.286,0.001,1576696220,11562,10.142.78.137,-437.39999999999884,774,c3fc92d7f4874dea9e1921f76f825b97,False
28,7960,0.3406186103820801,7960,7960,10,4,0.6926243903496341,796.0,0.30812541618169076,3.189649820327759,2019-12-18_11-10-20,10,311.046,7960,3.189649820327759,70.21428571428571,105303.752,-184.24285714285753,7.559,0.5790852906214223,186.19999999999976,zack-XPS-15-9560,2559.108,0.001,1576696220,11562,10.142.78.137,-437.39999999999884,937,c3fc92d7f4874dea9e1921f76f825b97,False
