timesteps_this_iter,info/opt_samples,time_this_iter_s,iterations_since_restore,episodes_total,info/grad_time_ms,episode_reward_min,timesteps_total,episode_reward_mean,pid,time_since_restore,hostname,date,time_total_s,timestamp,done,episodes_this_iter,node_ip,sampler_perf/mean_inference_ms,info/sample_time_ms,info/sample_peak_throughput,experiment_id,training_iteration,episode_len_mean,info/num_steps_trained,info/update_time_ms,sampler_perf/mean_processing_ms,episode_reward_max,sampler_perf/mean_env_wait_ms,info/opt_peak_throughput,timesteps_since_restore,info/num_steps_sampled
821,821.0,0.6609899997711182,1,2,41.473,-25.60000000000079,821,76.34999999999864,9350,0.6609899997711182,zack-XPS-15-9560,2019-12-18_10-52-25,0.6609899997711182,1576695145,False,2,10.142.78.137,1.4350793847990273,619.104,1326.11,751c756febcd46d9a439e0a10f7704d1,1,67.0,821,0.002,0.47943603933154055,178.29999999999808,1.133570030554017,19795.826,821,821
927,874.0,0.44950079917907715,2,5,23.582,-435.199999999999,1748,-189.61999999999995,9350,1.1104907989501953,zack-XPS-15-9560,2019-12-18_10-52-25,1.1104907989501953,1576695145,False,3,10.142.78.137,1.2219350155561688,531.264,1645.134,751c756febcd46d9a439e0a10f7704d1,2,70.4,1748,0.002,0.46641406858413,178.29999999999808,1.1093799521350067,37061.82,1748,1748
920,889.333,0.4444694519042969,3,8,17.699,-435.199999999999,2668,-230.2624999999996,9350,1.5549602508544922,zack-XPS-15-9560,2019-12-18_10-52-26,1.5549602508544922,1576695146,False,3,10.142.78.137,1.122965620533963,500.234,1777.834,751c756febcd46d9a439e0a10f7704d1,3,70.25,2668,0.002,0.45787730711488606,178.29999999999808,1.0986616575843287,50246.748,2668,2668
852,880.0,0.4042026996612549,4,11,14.758,-633.2999999999989,3520,-266.60909090909064,9350,1.959162950515747,zack-XPS-15-9560,2019-12-18_10-52-26,1.959162950515747,1576695146,False,3,10.142.78.137,1.0577366340334435,474.648,1854.005,751c756febcd46d9a439e0a10f7704d1,4,70.45454545454545,3520,0.002,0.4496162069954508,178.29999999999808,1.0844132933579549,59627.75,3520,3520
753,854.6,0.4336254596710205,5,14,12.802,-633.2999999999989,4273,-243.37857142857132,9350,2.3927884101867676,zack-XPS-15-9560,2019-12-18_10-52-27,2.3927884101867676,1576695147,False,3,10.142.78.137,1.016478134027556,465.363,1836.415,751c756febcd46d9a439e0a10f7704d1,5,69.64285714285714,4273,0.002,0.4432520497509504,178.29999999999808,1.0723738676300691,66753.305,4273,4273
712,830.833,0.3962886333465576,6,17,11.664,-633.2999999999989,4985,-228.47647058823526,9350,2.789077043533325,zack-XPS-15-9560,2019-12-18_10-52-27,2.789077043533325,1576695147,False,3,10.142.78.137,0.9860544058796166,452.76,1835.042,751c756febcd46d9a439e0a10f7704d1,6,70.17647058823529,4985,0.002,0.43692251648293734,178.29999999999808,1.059629120041439,71230.123,4985,4985
927,844.571,0.43662333488464355,7,19,10.833,-638.5000000000003,5912,-260.8473684210525,9350,3.2257003784179688,zack-XPS-15-9560,2019-12-18_10-52-27,3.2257003784179688,1576695147,False,2,10.142.78.137,0.9687063301281241,449.563,1878.651,751c756febcd46d9a439e0a10f7704d1,7,70.47368421052632,5912,0.001,0.434110956268934,178.29999999999808,1.0538951666303777,77963.149,5912,5912
823,841.875,0.4144277572631836,8,22,10.238,-638.5000000000003,6735,-274.7545454545453,9350,3.6401281356811523,zack-XPS-15-9560,2019-12-18_10-52-28,3.6401281356811523,1576695148,False,3,10.142.78.137,0.9458814399193689,444.356,1894.594,751c756febcd46d9a439e0a10f7704d1,8,71.5,6735,0.001,0.4311094874512419,178.29999999999808,1.0462554608953905,82230.003,6735,6735
880,846.111,0.4449634552001953,9,25,9.705,-638.5000000000003,7615,-277.6679999999998,9350,4.085091590881348,zack-XPS-15-9560,2019-12-18_10-52-28,4.085091590881348,1576695148,False,3,10.142.78.137,0.9278579950790388,443.765,1906.665,751c756febcd46d9a439e0a10f7704d1,9,71.68,7615,0.001,0.4287164292056147,178.29999999999808,1.0409489932771152,87186.695,7615,7615
714,832.9,0.3826136589050293,10,27,9.218,-638.5000000000003,8329,-273.63333333333316,9350,4.467705249786377,zack-XPS-15-9560,2019-12-18_10-52-29,4.467705249786377,1576695149,False,2,10.142.78.137,0.9173882591745992,437.103,1905.502,751c756febcd46d9a439e0a10f7704d1,10,71.37037037037037,8329,0.001,0.4267413926366332,178.29999999999808,1.0369878732878832,90357.214,8329,8329
